# order, q, snr, area
4, 19, 3, 115.47452055765093, 87958.0
4, 20, 3, 115.85169713868802, 100865.0
4, 21, 3, 117.9180561220821, 105682.0
4, 22, 3, 119.9971777801696, 115683.0
4, 23, 3, 120.1001269016328, 124839.0
5, 8, 2, 62.50286231634301, 14067.0
5, 9, 2, 69.03161076513857, 21210.0
5, 10, 2, 75.73122350625533, 25942.0
5, 11, 2, 70.69457591664428, 31855.0
5, 12, 2, 78.00612699683603, 41274.0
5, 13, 2, 83.92665568339211, 45299.0
5, 14, 2, 90.08665612430953, 52094.0
5, 15, 2, 95.47346071271575, 57447.0
5, 16, 2, 98.42654313844, 70749.0
5, 17, 2, 116.83311175254559, 99100.0
5, 18, 2, 117.52395450108828, 97657.0
5, 19, 2, 114.69377679555734, 108057.0
5, 20, 2, 122.09704077276699, 115859.0
5, 21, 2, 121.24016818917524, 127492.0
5, 22, 2, 120.31076348352308, 129512.0
5, 23, 2, 120.39425522922214, 145086.0
6, 8, 2, 61.903275677568395, 21614.0
6, 9, 2, 66.49192296057534, 26649.0
6, 10, 2, 71.79651363297856, 29423.0
6, 11, 2, 70.4774357746949, 41289.0
6, 12, 2, 79.30774909220492, 51606.0
6, 13, 2, 83.10329270451103, 57789.0
6, 14, 2, 89.85461761811004, 65691.0
6, 15, 2, 95.60274388221188, 86193.0
6, 16, 2, 98.9843094273249, 102887.0
6, 17, 2, 110.44694031045361, 114061.0
6, 18, 2, 111.46878231854635, 119029.0
6, 19, 2, 116.54195490321642, 141978.0
6, 20, 2, 117.48274509505485, 148581.0
6, 21, 2, 119.89562105749886, 153467.0
6, 22, 2, 120.29086544080144, 164271.0
6, 23, 2, 120.30498021266706, 180774.0
7, 8, 2, 57.613619780478956, 16274.0
7, 9, 2, 60.55773723319301, 21461.0
7, 10, 2, 67.22347788974324, 28856.0
7, 11, 2, 68.84370915554766, 38394.0
7, 12, 2, 73.95441035054145, 44845.0
7, 13, 2, 80.42774410759378, 56470.0
7, 14, 2, 89.92677029131237, 77918.0
7, 15, 2, 90.96127173755431, 84084.0
7, 16, 2, 97.8327164428692, 98660.0
7, 17, 2, 107.70458194300579, 118640.0
7, 18, 2, 111.98249831856877, 131944.0
7, 19, 2, 111.54019027585207, 133694.0
7, 20, 2, 115.82828648036525, 152197.0
7, 21, 2, 120.25911855332232, 174949.0
7, 22, 2, 119.94523412649484, 177631.0
7, 23, 2, 120.62708484196546, 198948.0
